phi,m,n,k,function,9,10,11,12,13,14,15,16,17,18,19,20,
0.000000,128,128,2048,OS2-f8-accu,1.719809e-07,5.822388e-09,5.289906e-10,8.688954e-12,2.078339e-16,2.165819e-16,2.155083e-16,2.087614e-16,2.115354e-16,2.097328e-16,2.103703e-16,2.160570e-16,
0.000000,128,128,4096,DGEMM,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,1.315415e-10,
0.000000,128,128,4096,OS1-7,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,3.536226e-11,
0.000000,128,128,4096,OS1-11,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,2.874000e-16,
0.000000,128,128,4096,OS2-i8-fast,1.671603e-02,4.738794e-04,4.834401e-05,2.497981e-07,8.744093e-08,2.222711e-08,8.804457e-10,3.085660e-11,2.064781e-16,2.083274e-16,7.006035e-16,8.833814e-16,
0.000000,128,128,4096,OS2-i8-accu,4.534302e-04,1.837777e-05,2.497981e-07,8.744093e-08,2.222711e-08,8.804457e-10,2.102028e-16,2.088586e-16,2.144380e-16,2.130909e-16,2.156325e-16,2.163491e-16,
0.000000,128,128,4096,OS2-f8-fast,1.228282e-05,2.497981e-07,8.744093e-08,4.988933e-09,4.389979e-10,2.345605e-15,6.244958e-15,2.223843e-15,2.041066e-15,7.006035e-16,8.833814e-16,2.711161e-15,
0.000000,128,128,4096,OS2-f8-accu,3.087195e-06,8.744093e-08,2.222711e-08,4.390019e-10,2.130909e-16,2.162758e-16,2.063098e-16,2.139028e-16,2.139028e-16,2.114152e-16,2.093458e-16,2.127085e-16,
0.000000,128,128,8192,DGEMM,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,1.283377e-11,
0.000000,128,128,8192,OS1-7,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,2.690475e-12,
0.000000,128,128,8192,OS1-11,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,3.097433e-16,
0.000000,128,128,8192,OS2-i8-fast,2.101589e-04,1.381838e-05,3.889371e-06,5.866716e-08,4.073582e-09,2.990831e-10,2.203922e-11,1.029072e-11,2.067915e-16,2.104124e-16,2.091968e-16,2.127638e-16,
0.000000,128,128,8192,OS2-i8-accu,1.284320e-05,5.107395e-07,1.268902e-07,4.872196e-09,6.830555e-10,9.810312e-12,4.723287e-12,2.147146e-16,2.027574e-16,2.133510e-16,2.103856e-16,2.061821e-16,
0.000000,128,128,8192,OS2-f8-fast,6.246271e-06,5.866716e-08,4.073582e-09,6.830553e-10,9.810180e-12,2.168174e-16,2.127638e-16,2.126874e-16,2.127638e-16,3.442013e-16,2.043284e-16,2.127638e-16,
0.000000,128,128,8192,OS2-f8-accu,5.866716e-08,4.073582e-09,6.830555e-10,9.810312e-12,2.101803e-16,2.079977e-16,2.131508e-16,2.136429e-16,2.143027e-16,2.047787e-16,2.136429e-16,2.096394e-16,
0.000000,128,128,16384,DGEMM,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,4.146893e-12,
0.000000,128,128,16384,OS1-7,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,2.549139e-12,
0.000000,128,128,16384,OS1-11,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,3.171281e-13,
0.000000,128,128,16384,OS2-i8-fast,4.515340e-04,5.880554e-05,1.533472e-06,3.111912e-07,7.364341e-09,7.026197e-10,7.206124e-11,2.637180e-12,2.041240e-16,2.179307e-16,2.097648e-16,5.628710e-16,
0.000000,128,128,16384,OS2-i8-accu,2.420532e-05,1.567178e-06,1.171637e-07,7.068440e-09,2.712605e-10,7.149997e-11,2.317173e-12,2.047833e-16,2.118202e-16,2.103117e-16,2.099354e-16,2.098591e-16,
0.000000,128,128,16384,OS2-f8-fast,2.001796e-05,3.111912e-07,7.364342e-09,2.712607e-10,7.150106e-11,2.545158e-16,6.991021e-16,7.071005e-16,1.208134e-15,3.907469e-16,2.127955e-16,1.616827e-15,
0.000000,128,128,16384,OS2-f8-accu,3.111912e-07,7.068440e-09,2.712605e-10,1.073612e-11,2.088117e-16,2.159903e-16,2.130072e-16,2.164887e-16,2.108080e-16,2.150908e-16,2.108080e-16,2.107968e-16,
0.000000,128,128,32768,DGEMM,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,5.650244e-11,
0.000000,128,128,32768,OS1-7,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,1.227786e-11,
0.000000,128,128,32768,OS1-11,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,1.329708e-12,
0.000000,128,128,32768,OS2-i8-fast,2.626853e-03,2.036108e-03,2.796409e-06,3.835199e-06,4.550527e-07,1.044785e-08,9.123108e-10,1.311358e-10,8.162805e-16,4.295292e-16,1.467704e-15,6.866213e-15,
0.000000,128,128,32768,OS2-i8-accu,2.997723e-04,7.799712e-06,7.633593e-07,1.543789e-08,1.343662e-08,1.854555e-11,4.702710e-12,2.132728e-16,2.133917e-16,2.126713e-16,2.125888e-16,2.098008e-16,
0.000000,128,128,32768,OS2-f8-fast,2.231854e-04,3.835199e-06,4.550527e-07,1.946397e-08,1.349478e-10,8.983519e-12,1.119803e-14,2.713514e-15,9.952218e-15,4.968979e-15,6.243308e-15,3.030044e-14,
0.000000,128,128,32768,OS2-f8-accu,2.058863e-06,1.625880e-08,1.343662e-08,1.854555e-11,2.158487e-16,2.046151e-16,2.136450e-16,2.094906e-16,2.136450e-16,2.078828e-16,2.150464e-16,2.110011e-16,
