phi,m,n,k,function,3,4,5,6,7,8,9,10,11,12,
0.000000,128,128,32768,BF16x9,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,2.860176e-02,
0.000000,128,128,32768,OS2-i8-fast,4.991802e+03,7.500988e+02,2.034442e+01,3.607498e-01,1.194894e-01,5.309794e-03,4.152829e-05,1.679140e-06,1.233844e-06,7.040479e-07,
0.000000,128,128,32768,OS2-i8-accu,4.991802e+03,7.500988e+02,2.034442e+01,3.607498e-01,1.194894e-01,5.309794e-03,4.152829e-05,6.582857e-07,1.233844e-06,7.040479e-07,
0.000000,128,128,32768,OS2-f8-fast,1.139824e+03,2.034442e+01,3.607490e-01,7.578361e-02,1.172008e-03,5.880564e-06,3.883158e-06,6.334675e-06,8.907972e-06,3.351301e-06,
0.000000,128,128,32768,OS2-f8-accu,1.139824e+03,2.034442e+01,3.607490e-01,7.578361e-02,1.172008e-03,5.880564e-06,3.883158e-06,6.334675e-06,8.907972e-06,3.351301e-06,
0.000000,128,128,65536,CGEMM,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,3.862750e-03,
0.000000,128,128,65536,BF16x9,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,2.814285e-03,
0.000000,128,128,65536,OS2-i8-fast,9.102906e+02,3.383026e+01,5.481006e+00,1.982288e-01,2.165800e-02,9.357076e-04,2.489830e-05,2.792520e-07,1.398756e-07,1.126376e-07,
0.000000,128,128,65536,OS2-i8-accu,9.102906e+02,3.383026e+01,5.481006e+00,1.982288e-01,2.165800e-02,9.357076e-04,2.489830e-05,2.792520e-07,1.398756e-07,1.126376e-07,
0.000000,128,128,65536,OS2-f8-fast,9.568756e+01,5.481006e+00,2.166410e-01,1.034019e-02,2.612667e-04,2.214065e-06,4.510040e-07,1.000496e-06,1.879425e-07,1.342424e-06,
0.000000,128,128,65536,OS2-f8-accu,9.568756e+01,5.481006e+00,2.166410e-01,1.034019e-02,2.612667e-04,2.214065e-06,4.510040e-07,1.000496e-06,1.879425e-07,1.342424e-06,
0.500000,128,128,1024,CGEMM,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,
0.500000,128,128,1024,BF16x9,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,1.472688e-02,
0.500000,128,128,1024,OS2-i8-fast,4.409916e+03,4.322757e+02,2.838782e+01,4.205228e+00,1.042658e-01,8.706764e-03,5.730259e-05,1.551827e-06,1.102317e-05,1.341841e-05,
0.500000,128,128,1024,OS2-i8-accu,8.011205e+02,4.142089e+01,5.636250e+00,2.764082e-01,1.324983e-02,9.742511e-04,3.215162e-06,1.379757e-07,1.126573e-07,9.757505e-08,
0.500000,128,128,1024,OS2-f8-fast,8.011205e+02,2.838782e+01,4.205184e+00,1.645850e-02,1.548424e-03,1.280717e-04,4.421433e-05,2.111739e-05,1.359177e-04,2.558975e-05,
0.500000,128,128,1024,OS2-f8-accu,7.641495e+01,5.636250e+00,2.764082e-01,8.716858e-03,5.379528e-05,2.569752e-07,6.963846e-07,1.831193e-07,2.870613e-07,4.156903e-07,
0.500000,128,128,2048,CGEMM,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,
0.500000,128,128,2048,BF16x9,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,1.090179e-03,
0.500000,128,128,2048,OS2-i8-fast,1.589988e+03,1.574677e+02,1.356386e+01,3.437752e-01,2.598188e-02,2.513252e-03,5.700773e-05,1.938292e-06,4.480987e-06,2.022453e-06,
0.500000,128,128,2048,OS2-i8-accu,2.918055e+02,2.231712e+01,1.799806e+00,9.644040e-02,3.601252e-03,1.702967e-04,2.799302e-06,5.935951e-08,1.160855e-07,6.622322e-08,
0.500000,128,128,2048,OS2-f8-fast,2.918055e+02,1.356386e+01,2.883099e-01,2.005135e-02,3.587740e-04,2.778057e-05,2.390188e-05,1.453056e-05,3.003273e-06,9.377503e-06,
0.500000,128,128,2048,OS2-f8-accu,5.851327e+01,1.799806e+00,2.638374e-02,2.513812e-03,1.943909e-05,3.238986e-07,7.119415e-08,1.335969e-07,7.119415e-08,9.294761e-08,
0.500000,128,128,4096,CGEMM,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,2.017785e-01,
0.500000,128,128,4096,BF16x9,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,4.854875e-01,
0.500000,128,128,4096,OS2-i8-fast,2.005563e+05,1.018872e+04,1.483884e+02,4.166572e+01,2.576637e+00,7.012586e-02,2.655638e-03,2.824223e-05,5.585637e-04,1.325287e-04,
0.500000,128,128,4096,OS2-i8-accu,9.702343e+03,3.369114e+02,5.023367e+01,4.777704e+00,1.299124e-01,3.807918e-02,2.152550e-04,4.991797e-06,6.937440e-06,1.781486e-06,
0.500000,128,128,4096,OS2-f8-fast,9.702343e+03,1.483884e+02,4.166602e+01,5.927162e-01,2.773887e-02,2.565999e-04,2.550902e-03,3.862405e-04,1.439551e-03,6.359212e-05,
0.500000,128,128,4096,OS2-f8-accu,8.321822e+01,5.023367e+01,4.777698e+00,7.008617e-02,2.551157e-03,3.435282e-06,8.238576e-06,5.709240e-06,2.039884e-05,7.910261e-06,
0.500000,128,128,8192,CGEMM,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,
0.500000,128,128,8192,BF16x9,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,2.971066e-03,
0.500000,128,128,8192,OS2-i8-fast,2.217135e+03,3.927646e+02,1.746449e+01,6.758147e-01,6.918730e-02,4.004976e-03,4.386121e-04,4.101890e-06,2.188612e-06,6.253378e-06,
0.500000,128,128,8192,OS2-i8-accu,3.927646e+02,1.746449e+01,6.758162e-01,6.915750e-02,4.017157e-03,5.239092e-04,1.087249e-05,1.449303e-07,1.449303e-07,5.926850e-08,
0.500000,128,128,8192,OS2-f8-fast,4.054125e+02,1.746449e+01,9.811538e-01,6.228681e-02,8.637193e-04,1.624008e-04,3.374030e-05,5.765772e-05,9.675582e-06,7.239934e-05,
0.500000,128,128,8192,OS2-f8-accu,3.260276e+01,6.758162e-01,6.915750e-02,1.030747e-03,1.752027e-04,3.776927e-07,1.075980e-06,1.025594e-07,3.776927e-07,1.568304e-07,
0.500000,128,128,16384,CGEMM,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,9.373876e-02,
