phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,4096,4096,4096,OS2-fast-9,5.98E-02,9.68E-09,7.09E+01,7.75E-03,8.63E-04,5.62E-03,8.04E-04,2.54E-04
5.00E-01,4096,4096,4096,OS2-fast-10,5.51E-03,6.05E-10,6.45E+01,8.52E-03,9.02E-04,6.24E-03,8.99E-04,2.67E-04
5.00E-01,4096,4096,4096,OS2-fast-11,3.28E-04,7.56E-11,5.89E+01,9.34E-03,1.05E-03,6.84E-03,9.63E-04,2.80E-04
5.00E-01,4096,4096,4096,OS2-fast-12,1.96E-05,4.73E-12,5.39E+01,1.02E-02,1.14E-03,7.49E-03,1.07E-03,2.96E-04
5.00E-01,4096,4096,4096,OS2-fast-13,1.36E-06,2.96E-13,5.02E+01,1.10E-02,1.26E-03,8.04E-03,1.12E-03,3.09E-04
5.00E-01,4096,4096,4096,OS2-fast-14,1.28E-07,1.84E-14,4.65E+01,1.18E-02,1.36E-03,8.70E-03,1.22E-03,3.28E-04
5.00E-01,4096,4096,4096,OS2-fast-15,9.10E-09,1.04E-15,4.35E+01,1.26E-02,1.44E-03,9.32E-03,1.31E-03,3.44E-04
5.00E-01,4096,4096,4096,OS2-fast-16,2.87E-10,6.10E-17,4.12E+01,1.34E-02,1.53E-03,9.88E-03,1.38E-03,3.59E-04
5.00E-01,4096,4096,4096,OS2-fast-17,8.95E-12,4.61E-17,3.87E+01,1.42E-02,1.60E-03,1.06E-02,1.44E-03,3.79E-04
5.00E-01,4096,4096,4096,OS2-fast-18,1.17E-13,4.54E-17,3.67E+01,1.50E-02,1.67E-03,1.12E-02,1.54E-03,3.90E-04
5.00E-01,4096,4096,4096,OS2-fast-19,2.97E-15,4.54E-17,3.42E+01,1.61E-02,1.79E-03,1.21E-02,1.60E-03,4.05E-04
5.00E-01,4096,4096,4096,OS2-fast-20,8.38E-16,4.54E-17,3.24E+01,1.70E-02,1.87E-03,1.27E-02,1.72E-03,4.23E-04
5.00E-01,4096,4096,4096,OS2-accu-2,3.52E+06,5.30E-01,1.83E+02,3.00E-03,1.24E-03,1.25E-03,1.69E-04,1.33E-04
5.00E-01,4096,4096,4096,OS2-accu-3,4.47E+05,4.11E-02,1.43E+02,3.85E-03,1.29E-03,1.95E-03,2.55E-04,1.51E-04
5.00E-01,4096,4096,4096,OS2-accu-4,2.17E+04,2.60E-03,1.18E+02,4.66E-03,1.35E-03,2.58E-03,3.52E-04,1.70E-04
5.00E-01,4096,4096,4096,OS2-accu-5,2.26E+03,1.63E-04,1.01E+02,5.44E-03,1.43E-03,3.19E-03,4.24E-04,1.87E-04
5.00E-01,4096,4096,4096,OS2-accu-6,1.39E+02,1.02E-05,8.80E+01,6.25E-03,1.47E-03,3.85E-03,5.18E-04,2.00E-04
5.00E-01,4096,4096,4096,OS2-accu-7,5.96E+00,6.36E-07,7.90E+01,6.96E-03,1.51E-03,4.42E-03,6.00E-04,2.18E-04
5.00E-01,4096,4096,4096,OS2-accu-8,5.12E-01,7.67E-08,7.11E+01,7.74E-03,1.56E-03,5.03E-03,7.06E-04,2.30E-04
5.00E-01,4096,4096,4096,OS2-accu-9,6.44E-02,4.80E-09,6.49E+01,8.48E-03,1.61E-03,5.65E-03,7.68E-04,2.49E-04
