phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,8192,8192,8192,OS2-accu-14,2.44E-07,9.25E-15,1.65E+02,2.66E-02,7.30E-03,1.54E-02,2.39E-03,1.47E-03
5.00E-01,8192,8192,8192,OS2-accu-15,1.29E-08,4.73E-16,1.55E+02,2.84E-02,7.73E-03,1.65E-02,2.56E-03,1.59E-03
5.00E-01,8192,8192,8192,OS2-accu-16,4.22E-10,5.11E-17,1.45E+02,3.04E-02,8.18E-03,1.77E-02,2.76E-03,1.66E-03
5.00E-01,8192,8192,8192,OS2-accu-17,3.55E-12,4.55E-17,1.38E+02,3.19E-02,8.44E-03,1.87E-02,2.91E-03,1.78E-03
5.00E-01,8192,8192,8192,OS2-accu-18,1.62E-13,4.55E-17,1.30E+02,3.37E-02,8.88E-03,1.99E-02,3.06E-03,1.83E-03
5.00E-01,8192,8192,8192,OS2-accu-19,1.57E-15,4.55E-17,1.20E+02,3.67E-02,1.06E-02,2.09E-02,3.24E-03,1.93E-03
5.00E-01,8192,8192,8192,OS2-accu-20,9.15E-16,4.55E-17,1.15E+02,3.83E-02,1.10E-02,2.20E-02,3.41E-03,1.93E-03
5.00E-01,16384,16384,16384,INT8-GEMM,,,3.23E+03,2.72E-03,,,,
5.00E-01,16384,16384,16384,GEMMEX,7.18E-07,4.96E-15,3.71E+01,9.49E-01,,,,
5.00E-01,16384,16384,16384,ZGEMM,7.18E-07,4.96E-15,3.71E+01,9.49E-01,,,,
5.00E-01,16384,16384,16384,ZGEMM3m,5.94E-07,5.09E-15,4.53E+01,7.76E-01,,,,
5.00E-01,16384,16384,16384,OS2-fast-2,5.59E+05,1.00E+00,1.76E+03,2.00E-02,4.29E-03,1.31E-02,1.06E-03,1.50E-03
5.00E-01,16384,16384,16384,OS2-fast-3,3.74E+07,3.05E-01,9.68E+02,3.63E-02,6.33E-03,2.56E-02,1.87E-03,2.53E-03
