phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,16384,16384,16384,OS2-accu-8,8.990401e+02,8.013378e-08,3.853687e+02,1.001081e+02,
5.000000e-01,16384,16384,16384,OS2-accu-9,2.404991e+00,5.015037e-09,3.854843e+02,9.036474e+01,
5.000000e-01,16384,16384,16384,OS2-accu-10,2.781774e+00,3.134665e-10,3.876781e+02,8.175694e+01,
5.000000e-01,16384,16384,16384,OS2-accu-11,2.951761e-01,1.959266e-11,3.885472e+02,7.483545e+01,
5.000000e-01,16384,16384,16384,OS2-accu-12,1.875341e-02,1.224296e-12,3.912084e+02,6.865436e+01,
5.000000e-01,16384,16384,16384,OS2-accu-13,2.946752e-03,1.498509e-13,3.920340e+02,6.349780e+01,
5.000000e-01,16384,16384,16384,OS2-accu-14,8.096598e-05,9.248965e-15,3.877891e+02,5.968640e+01,
5.000000e-01,16384,16384,16384,OS2-accu-15,3.266213e-06,4.726015e-16,3.837875e+02,5.682227e+01,
5.000000e-01,16384,16384,16384,OS2-accu-16,1.198342e-07,5.109147e-17,3.882205e+02,5.269061e+01,
5.000000e-01,16384,16384,16384,OS2-accu-17,4.342862e-09,4.554089e-17,3.865666e+02,5.019187e+01,
5.000000e-01,16384,16384,16384,OS2-accu-18,3.565326e-10,4.545730e-17,3.825581e+02,4.789833e+01,
5.000000e-01,16384,16384,16384,OS2-accu-19,3.621807e-13,4.545896e-17,3.881466e+02,4.487354e+01,
5.000000e-01,16384,16384,16384,OS2-accu-20,9.230812e-14,4.545608e-17,3.838853e+02,4.323031e+01,
