phi,m,n,k,function,relerr_max,relerr_med,watt,GFLOPS/watt,
5.000000e-01,8192,8192,8192,OS2-fast-3,1.625477e+06,1.537486e-01,7.876876e+02,3.545320e+02,
5.000000e-01,8192,8192,8192,OS2-fast-4,3.673941e+05,1.012587e-02,7.933819e+02,2.882400e+02,
5.000000e-01,8192,8192,8192,OS2-fast-5,7.173670e+04,6.349124e-04,7.888617e+02,2.411078e+02,
5.000000e-01,8192,8192,8192,OS2-fast-6,1.813694e+03,3.968252e-05,7.925698e+02,2.053011e+02,
5.000000e-01,8192,8192,8192,OS2-fast-7,3.770145e+01,2.480499e-06,7.931659e+02,1.774261e+02,
5.000000e-01,8192,8192,8192,OS2-fast-8,1.831979e+00,1.550451e-07,7.935332e+02,1.593320e+02,
5.000000e-01,8192,8192,8192,OS2-fast-9,2.345488e-01,9.689169e-09,7.925643e+02,1.442672e+02,
5.000000e-01,8192,8192,8192,OS2-fast-10,3.347618e-02,6.057684e-10,7.908307e+02,1.306818e+02,
5.000000e-01,8192,8192,8192,OS2-fast-11,1.225704e-03,7.564630e-11,7.886278e+02,1.198995e+02,
5.000000e-01,8192,8192,8192,OS2-fast-12,9.153959e-05,4.730694e-12,7.919140e+02,1.110638e+02,
5.000000e-01,8192,8192,8192,OS2-fast-13,1.532687e-05,2.955693e-13,7.854738e+02,9.978079e+01,
5.000000e-01,8192,8192,8192,OS2-fast-14,9.680205e-07,1.835813e-14,7.890195e+02,9.335926e+01,
5.000000e-01,8192,8192,8192,OS2-fast-15,4.355111e-08,1.035779e-15,7.884407e+02,8.697977e+01,
5.000000e-01,8192,8192,8192,OS2-fast-16,2.170085e-09,6.103577e-17,7.895810e+02,8.133921e+01,
5.000000e-01,8192,8192,8192,OS2-fast-17,2.436457e-11,4.612440e-17,7.901616e+02,7.714649e+01,
5.000000e-01,8192,8192,8192,OS2-fast-18,3.123347e-13,4.547347e-17,7.901933e+02,7.301022e+01,
5.000000e-01,8192,8192,8192,OS2-fast-19,1.972960e-14,4.546473e-17,7.896555e+02,6.822264e+01,
5.000000e-01,8192,8192,8192,OS2-fast-20,1.136587e-14,4.545912e-17,7.878664e+02,6.493693e+01,
5.000000e-01,8192,8192,8192,OS2-accu-2,8.486622e+06,5.302203e-01,6.827285e+02,3.719901e+02,
5.000000e-01,8192,8192,8192,OS2-accu-3,8.892223e+05,4.109447e-02,7.655440e+02,2.714308e+02,
5.000000e-01,8192,8192,8192,OS2-accu-4,1.788172e+05,2.603757e-03,7.952780e+02,2.267194e+02,
5.000000e-01,8192,8192,8192,OS2-accu-5,6.779397e+03,1.628464e-04,7.980652e+02,1.942462e+02,
5.000000e-01,8192,8192,8192,OS2-accu-6,6.180178e+02,1.017976e-05,7.847124e+02,1.737356e+02,
5.000000e-01,8192,8192,8192,OS2-accu-7,4.656834e+01,6.362258e-07,7.955805e+02,1.520133e+02,
